[train_v2] Device: cuda
[train_v2] transition=lstm hidden=512 layers=3 | epochs=1500 seq_len=40 lr=0.0005 batch=8
[train_v2] loss weights: recon=0.3 kl_dyn=1.0 kl_reg=0.005 free_bits=0.0 trans_mse=1.0
[train_v2] Loaded 9 cached feature sequences from data/features_cache_v2.pkl
[train_v2] feature stats set on 2435 frames (mean|14.114| std~74.016)
/usr/lib/python3/dist-packages/scipy/__init__.py:146: UserWarning: A NumPy version >=1.17.3 and <1.25.0 is required for this version of SciPy (detected version 1.26.4
  warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
[metrics] run 'world_model_v2_20260621_052133' → logs/world_model_v2_20260621_052133/

==================================================
WORLD MODEL v2 TRAINING (proper VAE)
==================================================
  Epoch  665/1500 | Loss 1.28667 | Best 1.13210 | recon 0.9552 | kl_dyn 0.0000 | kl_reg 0.0076
  Epoch  670/1500 | Loss 1.25978 | Best 1.13210 | recon 0.8560 | kl_dyn 0.0000 | kl_reg 0.0066
  Epoch  675/1500 | Loss 1.23041 | Best 1.13210 | recon 0.7610 | kl_dyn 0.0000 | kl_reg 0.0059
  Epoch  680/1500 | Loss 1.25491 | Best 1.13210 | recon 0.8638 | kl_dyn 0.0000 | kl_reg 0.0059
  Epoch  685/1500 | Loss 1.22103 | Best 1.13210 | recon 0.7774 | kl_dyn 0.0000 | kl_reg 0.0067
  Epoch  690/1500 | Loss 1.33813 | Best 1.13210 | recon 1.1290 | kl_dyn 0.0000 | kl_reg 0.0068
  Epoch  695/1500 | Loss 1.34488 | Best 1.13210 | recon 1.1620 | kl_dyn 0.0000 | kl_reg 0.0063
  Epoch  700/1500 | Loss 1.39131 | Best 1.13210 | recon 1.3227 | kl_dyn 0.0000 | kl_reg 0.0054
  Epoch  705/1500 | Loss 1.26476 | Best 1.13210 | recon 0.8815 | kl_dyn 0.0000 | kl_reg 0.0053
  Epoch  710/1500 | Loss 1.34386 | Best 1.13210 | recon 1.1385 | kl_dyn 0.0000 | kl_reg 0.0057
  Epoch  715/1500 | Loss 1.26869 | Best 1.13210 | recon 0.8905 | kl_dyn 0.0000 | kl_reg 0.0056
  Epoch  720/1500 | Loss 1.19511 | Best 1.13210 | recon 0.6214 | kl_dyn 0.0000 | kl_reg 0.0062
  Epoch  725/1500 | Loss 1.25123 | Best 1.13210 | recon 0.8175 | kl_dyn 0.0000 | kl_reg 0.0064
  Epoch  730/1500 | Loss 1.20688 | Best 1.13210 | recon 0.6740 | kl_dyn 0.0000 | kl_reg 0.0078
  Epoch  735/1500 | Loss 1.39198 | Best 1.13210 | recon 1.2964 | kl_dyn 0.0000 | kl_reg 0.0077
  Epoch  740/1500 | Loss 1.22771 | Best 1.13210 | recon 0.7791 | kl_dyn 0.0000 | kl_reg 0.0066
  Epoch  745/1500 | Loss 1.36365 | Best 1.13210 | recon 1.2056 | kl_dyn 0.0000 | kl_reg 0.0063
  Epoch  750/1500 | Loss 1.23914 | Best 1.13210 | recon 0.7900 | kl_dyn 0.0000 | kl_reg 0.0052
  Epoch  755/1500 | Loss 1.35714 | Best 1.13210 | recon 1.1715 | kl_dyn 0.0000 | kl_reg 0.0046
  Epoch  760/1500 | Loss 1.34864 | Best 1.13210 | recon 1.1397 | kl_dyn 0.0000 | kl_reg 0.0050
  Epoch  765/1500 | Loss 1.25559 | Best 1.13210 | recon 0.8459 | kl_dyn 0.0000 | kl_reg 0.0052
  Epoch  770/1500 | Loss 1.24263 | Best 1.13210 | recon 0.8081 | kl_dyn 0.0000 | kl_reg 0.0061
  Epoch  775/1500 | Loss 1.31878 | Best 1.13210 | recon 1.0470 | kl_dyn 0.0000 | kl_reg 0.0056
  Epoch  780/1500 | Loss 1.39236 | Best 1.13210 | recon 1.3005 | kl_dyn 0.0000 | kl_reg 0.0060
  Epoch  785/1500 | Loss 1.31463 | Best 1.13210 | recon 1.0502 | kl_dyn 0.0000 | kl_reg 0.0054
  Epoch  790/1500 | Loss 1.36891 | Best 1.13210 | recon 1.2153 | kl_dyn 0.0000 | kl_reg 0.0052
  Epoch  795/1500 | Loss 1.25975 | Best 1.13210 | recon 0.8642 | kl_dyn 0.0000 | kl_reg 0.0058
  Epoch  800/1500 | Loss 1.26232 | Best 1.13210 | recon 0.8927 | kl_dyn 0.0000 | kl_reg 0.0052
  Epoch  805/1500 | Loss 1.31444 | Best 1.13210 | recon 1.0569 | kl_dyn 0.0000 | kl_reg 0.0046
  Epoch  810/1500 | Loss 1.27314 | Best 1.13210 | recon 0.9083 | kl_dyn 0.0000 | kl_reg 0.0042
  Epoch  815/1500 | Loss 1.27013 | Best 1.13210 | recon 0.8756 | kl_dyn 0.0000 | kl_reg 0.0045
  Epoch  820/1500 | Loss 1.26255 | Best 1.13210 | recon 0.8607 | kl_dyn 0.0000 | kl_reg 0.0045
  Epoch  825/1500 | Loss 1.31533 | Best 1.13210 | recon 1.0356 | kl_dyn 0.0000 | kl_reg 0.0041
  Epoch  830/1500 | Loss 1.21658 | Best 1.13210 | recon 0.7331 | kl_dyn 0.0000 | kl_reg 0.0039
  Epoch  835/1500 | Loss 1.31395 | Best 1.13210 | recon 1.0154 | kl_dyn 0.0000 | kl_reg 0.0040
  Epoch  840/1500 | Loss 1.34496 | Best 1.13210 | recon 1.1651 | kl_dyn 0.0000 | kl_reg 0.0042
  Epoch  845/1500 | Loss 1.22008 | Best 1.13210 | recon 0.7400 | kl_dyn 0.0000 | kl_reg 0.0038
